FID,Shape *,type,idschool,district,name,dcode,address,x,y
149,Point,3,3110011904,บางกะปิ,โรงเรียนวัดศรีบุญเรือง,1006,130 หมู่ 2 ถ.ลาดพร้าว 130 แ ขวงคลองจั่น เขตบางกะปิ,678655.853,1522547.502
150,Point,2,3110011905,บางกะปิ,โรงเรียนลำสาลี (ราษฎร์บำรุง),1006,183-2 ถ.กรุงเทพกรีฑา แขวงหัวหมาก เขตบางกะปิ,678450.526,1520631.843
151,Point,2,3110011906,บางกะปิ,โรงเรียนคลองกะจะ,1006,163 คลองกะจะ แขวงหัวหมาก เขตบางกะปิ,676138.071,1520558.413
152,Point,1,3110011907,บางกะปิ,โรงเรียนสุเหร่าวังใหญ่,1006,แขวงหัวหมาก เขตบางกะปิ,681013.39,1520620.751
153,Point,2,3110011908,บางกะปิ,โรงเรียนสุเหร่าหัวหมากน้อย,1006,171 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ,679136.867,1521611.055
154,Point,3,3110011909,บางกะปิ,โรงเรียนบ้านบางกะปิ ,1006,93 ถ.นวมินทร์ แขวงคลองจั่น เขตบางกะปิ,678003.871,1523116.107
155,Point,3,3110011910,บางกะปิ,โรงเรียนวัดบึงทองหลาง,1006,1149 แขวงวังทองหลาง เขตบางกะปิ,675707.554,1525660.793
156,Point,3,3110021911,บางกะปิ,โรงเรียนมัธยมบ้านบางกะปิ,1006,ถ.นวมินทร์ แขวงคลองจั่น เขตบางกะปิ,678047.161,1523095.063
157,Point,2,3110013101,มีนบุรี,โรงเรียนคลองสองต้นนุ่น,1010,20 หมู่ 6 ถ.ร่มเกล้า แขวงมีนบุรี เขตมีนบุรี,687618.82,1525419.075
158,Point,2,3110013102,มีนบุรี,โรงเรียนคลองสาม,1010,37 หมู่ 15 ถ.ร่มเกล้า แขวงแสนแสบ เขตมีนบุรี,689290.115,1525436.973
159,Point,2,3110013103,มีนบุรี,โรงเรียนวังเล็กวิทยานุสรณ์ ,1010,13/1 หมู่ 17 ถ.สุวินทวงศ์ แขวงแสนแสบ เขตมีนบุรี,691366.048,1526676.564
160,Point,1,3110013105,มีนบุรี,โรงเรียนบึงขวาง (มหาดไทยอุปถัมภ์),1010,19/3 หมู่ 4 ถ.บึงขวาง แขวงแสนแสบ เขตมีนบุรี,689967.009,1526641.203
161,Point,3,3110013106,มีนบุรี,โรงเรียนมีนบุรี,1010,36 หมู่ 1 ถ.เสรีไทย แขวงมีนบุรี เขตมีนบุรี,687139.164,1527720.036
162,Point,3,3110013108,มีนบุรี,โรงเรียนวัดบำเพ็ญเหนือ,1010,26 หมู่ 14 ถ.เสรีไทย แขวงมีนบุรี เขตมีนบุรี,684668.378,1526265.823
163,Point,2,3110013109,มีนบุรี,โรงเรียนวัดแสนสุข,1010,47/1 หมู่ 2 ถ.สุวินทวงศ์ แขวงมีนบุรี เขตมีนบุรี,688269.961,1528446.094
164,Point,2,3110013110,มีนบุรี,โรงเรียนวัดใหม่ลำนกแขวก,1010,9/1 หมู่ 10 ถ.สุวินทวงศ์ แขวงแสนแสบ เขตมีนบุรี,695337.836,1527211.268
165,Point,2,3110013111,มีนบุรี,โรงเรียนศาลาคู้,1010,35/1  ถ.ราษฎร์อุทิศ แขวงแสนแสบ เขตมีนบุรี,694060.121,1531334.746
166,Point,2,3110013112,มีนบุรี,โรงเรียนสุเหร่าบางชัน,1010,หมู่ 15 ถ.สุขาภิบาล 2 แขวงมีนบุรี เขตมีนบุรี,683970.065,1530124.083
167,Point,2,3110023104,มีนบุรี,โรงเรียนบ้านเกาะ,1010,24 ถ.สุวินทวงศ์ แขวงแสนแสบ เขตมีนบุรี,692547.231,1528813.145
168,Point,2,3110023107,มีนบุรี,โรงเรียนวัดทองสัมฤทธิ์,1010,50/1 หมู่ 18 ถ.คุ้มเกล้า แขวงแสนแสบ เขตมีนบุรี,693143.562,1526429.74
169,Point,2,3110023113,มีนบุรี,โรงเรียนสุเหร่าทรายกองดิน,1010,61 หมู่ 8 ถ.ราษฏร์อุทิศ แขวงแสนแสบ เขตมีนบุรี,691660.445,1530124.083
170,Point,3,3110013202,ลาดกระบัง,โรงเรียนวัดปลูกศรัทธา,1011,85/1 หมู่ 3 แขวงลาดกระบัง เขตลาดกระบัง,691206.944,1518270.119
171,Point,3,3110013204,ลาดกระบัง,โรงเรียนวัดบำรุงรื่น,1011,61 หมู่ 3 ถ.ร่มเกล้า แขวงคลองสาม เขตลาดกระบัง,689844.547,1519954.028
172,Point,3,3110013205,ลาดกระบัง,โรงเรียนวัดพลมานีย์,1011,22 หมู่ 2 ถ.ประชาพัฒนา แขวงทับยาว เขตลาดกระบัง,694435.528,1517824.6
173,Point,2,3110013206,ลาดกระบัง,โรงเรียนวัดสุทธาโภชน์,1011,139 หมู่ 7 ถ.ฉลองกรุง แขวงทับยาว เขตลาดกระบัง,694136.013,1519722.197
174,Point,3,3110013207,ลาดกระบัง,โรงเรียนแสงหิรัญวิทยา,1011,99 หมู่ 3 ถ.หลวงแพ่ง แขวงทับยาว เขตลาดกระบัง,696053.756,1516699.07
175,Point,1,3110013208,ลาดกระบัง,โรงเรียนประสานสามัคคี (บ้านทับยาว),1011,97/2 หมู่ 8 ถ.ทับยาว แขวงทับยาว เขตลาดกระบัง,698720.425,1518825.896
176,Point,2,3110013209,ลาดกระบัง,โรงเรียนวัดบึงบัว,1011,57 หมู่ 4 ถ.คุ้มเกล้า แขวงลำปลาทิว เขตลาดกระบัง,692083.395,1522466.12
177,Point,2,3110013210,ลาดกระบัง,โรงเรียนวัดทิพพาวาส,1011,68 หมู่ 7 ถ.ฉลองกรุง 5 แขวงลำปลาทิว เขตลาดกระบัง,694745.046,1524177.245
178,Point,3,3110013211,ลาดกระบัง,โรงเรียนลำพะอง ,1011,49 หมู่ 8 ถ.ฉลองกรุง แขวงลำปลาทิว เขตลาดกระบัง,695932.417,1523393.03
179,Point,1,3110013213,ลาดกระบัง,โรงเรียนวัดขุมทอง,1011,11 หมู่ 5 ถ.ขุมทอง แขวงขุมทอง เขตลาดกระบัง,700214.534,1517756.267
180,Point,1,3110013214,ลาดกระบัง,โรงเรียนตำบลขุมทอง (ประชาอุทิศ),1011,68 หมู่ 7 แขวงขุมทอง เขตลาดกระบัง,700794.853,1521388.2
181,Point,1,3110013215,ลาดกระบัง,โรงเรียนขุมทอง(เพชรทองคำอุปถัมภ์),1011,130 หมู่ 5 แขวงขุมทอง เขตลาดกระบัง,700328.375,1519923.923
182,Point,3,3110013217,ลาดกระบัง,โรงเรียนวัดปากบึง,1011,46 หมู่ 6 ถ.ร่มเกล้า แขวงคลองสอง เขตลาดกระบัง,687908.923,1523725.242
183,Point,1,3110013218,ลาดกระบัง,โรงเรียนสุเหร่าลำนายโส,1011,30 หมู่ 4 แขวงคลองสองต้นนุ่น เขตลาดกระบัง,686418.749,1523561.933
184,Point,1,3110013219,ลาดกระบัง,โรงเรียนแดงเป้า (สิงสุขบูรณะ),1011,79 หมู่ 1 แขวงคลองสองต้นนุ่น เขตลาดกระบัง,686439.602,1520549.973
185,Point,3,3110013220,ลาดกระบัง,โรงเรียนเคหะชุมชนลาดกระบัง,1011,3 หมู่ 3 ถ.ร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง,687082.071,1522489.571
186,Point,3,3110023201,ลาดกระบัง,โรงเรียนวัดลาดกระบัง,1011,125 หมู่ 4 ถ.ร่มเกล้า แขวงลาดกระบัง เขตลาดกระบัง,689492.343,1518221.303
187,Point,3,3110023203,ลาดกระบัง,โรงเรียนวัดสังฆราชา,1011,336 หมู่ 5 ถ.อ่อนนุช แขวงลาดกระบัง เขตลาดกระบัง,687904.451,1518140.442
188,Point,3,3110023212,ลาดกระบัง,โรงเรียนวัดราชโกษา,1011,77 หมู่ 1 ซ.หลวงแพ่ง แขวงขุมทอง เขตลาดกระบัง,700203.91,1515272.52
189,Point,3,3110023216,ลาดกระบัง,โรงเรียนวัดลานบุญ,1011,19 หมู่ 7 ถ.อ่อนนุช แขวงลาดกระบัง เขตลาดกระบัง,685991.901,1518024.824
190,Point,3,3110013301,หนองจอก,โรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ),1003,18 หมู่ 2 ถ.เลียบวารี แขวงกระทุ่มราย เขตหนองจอก,701051.281,1532706.77
191,Point,2,3110013302,หนองจอก,โรงเรียนสุเหร่าหะยีมินา,1003,หมู่ 4 ถ.สังฆสันติสุข แขวงกระทุ่มราย เขตหนองจอก,702036.597,1532511.74
192,Point,1,3110013303,หนองจอก,โรงเรียนสุเหร่าบ้านเกาะ,1003,14 หมู่ 1 แขวงหนองจอก เขตหนองจอก,703531.964,1534628.348
193,Point,1,3110013304,หนองจอก,โรงเรียนลำบุหรี่พวง,1003,หมู่ 14 ลำบุหรี่พวง แขวงคลองสิบ เขตหนองจอก,699856.6,1536112.92
194,Point,1,3110013306,หนองจอก,โรงเรียนสุเหร่าศาลาแดง,1003,25 หมู่ 5 ถ.ผ่องพันธ์ แขวงหนองจอก เขตหนองจอก,705042.43,1531984.938
195,Point,1,3110013307,หนองจอก,โรงเรียนสุเหร่าใหม่,1003,6 คลองแสนแสบ แขวงหนองจอก เขตหนองจอก,703763.844,1532317.764
196,Point,1,3110013308,หนองจอก,โรงเรียนสามแยกท่าไข่,1003,หมู่ 6 ถ.สังฆสันติสุข แขวงกระทุ่มราย เขตหนองจอก,704365.209,1531713.535
197,Point,1,3110013309,หนองจอก,โรงเรียนหลวงแพ่ง (บำรุงรัฐกิจ),1003,24/1หมู่ 12 แขวงกระทุ่มราย เขตหนองจอก,709183.061,1528196.253
198,Point,1,3110013310,หนองจอก,โรงเรียนนีลราษฎร์อุปถัมภ์,1003,59/60 หมู่ 10 แขวงกระทุ่มราย เขตหนองจอก,706495.25,1530341.776
199,Point,3,3110013311,หนองจอก,โรงเรียนบ้านเจียรดับ,1003,แขวงโคกแฝด เขตหนองจอก,697623.8,1532457.564
200,Point,3,3110013312,หนองจอก,โรงเรียนวัดทรัพย์สโมสร,1003,42 แขวงโคกแฝด เขตหนองจอก,694944.208,1531939.519
201,Point,1,3110013313,หนองจอก,โรงเรียนสุเหร่านาตับ,1003,หมู่ 9 ถ.เลียบวารี แขวงโคกแฝด เขตหนองจอก,696301.614,1529246.836
202,Point,1,3110013314,หนองจอก,โรงเรียนสุเหร่าอีรั้ว,1003,250 หมู่ 7 ถ.เชื่อมสัมพันธ์ แขวงโคกแฝด เขตหนองจอก,698004.647,1528595.522
203,Point,1,3110013315,หนองจอก,โรงเรียนอิสลามลำไทร,1003,หมู่ 5 ลำไทร แขวงโคกแฝด เขตหนองจอก,699017.126,1529939.171
204,Point,2,3110013316,หนองจอก,โรงเรียนบ้านลำต้นกล้วย,1003,16/6 หมู่ 6 แขวงโคกแฝด เขตหนองจอก,700024.688,1528471.186
205,Point,2,3110013317,หนองจอก,โรงเรียนวัดพระยาปลา,1003,15/1 ถ.ประชาสำราญ แขวงคลองสิบสอง เขตหนองจอก,701298.068,1538971.775
206,Point,1,3110013318,หนองจอก,โรงเรียนวัดแสนเกษม,1003,14 หมู่ 8 แขวงคลองสิบสอง เขตหนองจอก,704204.625,1537996.7
207,Point,1,3110013319,หนองจอก,โรงเรียนวัดใหม่เจริญราษฎร์,1003,หมู่ 11 คลองสิบสี่ แขวงคลองสิบสอง เขตหนองจอก,705971.763,1536091.943
208,Point,1,3110013321,หนองจอก,โรงเรียนวัดสีชมพู,1003,1/1 หมู่ 4 ถ.คลองสิบ แขวงคลองสิบ เขตหนองจอก,696880.881,1540651.794
209,Point,1,3110013322,หนองจอก,โรงเรียนลำเจดีย์,1003,หมู่ 5 ถ.คู้คลองสิบ แขวงคู้ฝั่งเหนือ เขตหนองจอก,696679.84,1534982.696
210,Point,1,3110013323,หนองจอก,โรงเรียนสุเหร่าคลองเก้า,1003,หมู่ 2 คลองเก้า แขวงคลองสิบ เขตหนองจอก,693709.805,1537920.582
211,Point,1,3110013324,หนองจอก,โรงเรียนสุเหร่าคลองสิบ,1003,18 หมู่ 8 แขวงคลองสิบ เขตหนองจอก,695800.434,1537869.417
212,Point,1,3110013325,หนองจอก,โรงเรียนสุเหร่าคลองสิบเอ็ด,1003,58 หมู่ 11 แขวงคลองสิบ เขตหนองจอก,698699.258,1538865.16
213,Point,1,3110013326,หนองจอก,โรงเรียนสุเหร่าสนามกลางลำ,1003,หมู่ 8 ถ.แขวงคู้ฝั่งเหนือ เขตหนองจอก,697589.945,1536885.721
214,Point,1,3110013327,หนองจอก,โรงเรียนวัดใหม่กระทุ่มล้ม,1003,หมู่ 4 ถ.ร่วมพัฒนา แขวงลำต้อยติ่ง เขตหนองจอก,702287.399,1524177.211
215,Point,1,3110013328,หนองจอก,โรงเรียนผลลีรุ่งเรือง,1003,หมู่ 13 หลวงแพ่ง แขวงกระทุ่มราย เขตหนองจอก,706626.609,1525597.874
216,Point,2,3110024611,หนองจอก,โรงเรียนวัดราษฎร์บำรุง,1003,8 หมู่ 8 ถ.สุวินทวงศ์ แขวงลำต้อยติ่ง เขตหนองจอก,703021.454,1527626.537
217,Point,1,3110013330,หนองจอก,โรงเรียนคลองสอง,1003,20/3 หมู่.8 ถ.สุวินทวงศ์ แขวงลำต้อยติ่ง เขตหนองจอก,704138.463,1526674.928
218,Point,1,3110013331,หนองจอก,โรงเรียนคารีอุปถัมภ์,1003,55/4 หมู่ 8 ซ.สมานศักดิ์ แขวงลำผักชี เขตหนองจอก,700955.164,1524900.053
219,Point,1,3110013333,หนองจอก,โรงเรียนศิริวังวิทยาคาร,1003,หมู่ 10 ถ.สุวินทวงศ์ แขวงลำผักชี เขตหนองจอก,699539.029,1526781.742
220,Point,1,3110013335,หนองจอก,โรงเรียนอู่ตะเภา,1003,21 หมู่ 4 ถ.ฉลองกรุง แขวงลำผักชี เขตหนองจอก,695965.263,1525426.409
221,Point,1,3110013337,หนองจอก,โรงเรียนลำผักชี,1003,หมู่ 10 ถ.สุวินทวงศ์ แขวงลำผักชี เขตหนองจอก,698427.831,1525445.245
222,Point,3,3110023305,หนองจอก,โรงเรียนหนองจอกพิทยานุสรณ์,1003,31/1 หมู่ 9 มิตรไมตรี แขวงหนองจอก เขตหนองจอก,700383.956,1533406.661
223,Point,3,3110023320,หนองจอก,โรงเรียนวัดสามง่าม,1003,1 หมู่ 8 ถ.คู้คลองสิบ แขวงคู้ฝั่งเหนือ เขตหนองจอก,695318.588,1536192.64
224,Point,2,3110023332,หนองจอก,โรงเรียนสุเหร่าลำแขก,1003,หมู่ 9 ถ.สุวินทวงศ์ แขวงลำผักชี เขตหนองจอก,701026.02,1526850.713
225,Point,3,3110023334,หนองจอก,โรงเรียนสังฆประชานุสรณ์,1003,3/3-4 หมู่ 7 แขวงลำผักชี เขตหนองจอก,698553.596,1523019.756
226,Point,2,3110023336,หนองจอก,โรงเรียนวัดลำต้อยติ่ง,1003,หมู่ 1 ถ.วิบูลย์สาธุกิจ แขวงลำต้อยติ่ง เขตหนองจอก,704204.565,1521483.961
227,Point,3,3110012101,บึงกุ่ม,โรงเรียนวัดบางเตย,1027,39 หมู่ 6 ถ.นวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม,678268.775,1526593.637
228,Point,2,3110012102,บึงกุ่ม,โรงเรียนประภาสวิทยา,1027,30/117 หมู่ 13 ถ.นวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม,679683.748,1526691.195
229,Point,2,3110012103,บึงกุ่ม,โรงเรียนคลองลำเจียก,1027,33/4 หมู่ 9 ถ.นวลจันทร์ แขวงคลองกุ่ม เขตบึงกุ่ม,676680.164,1528240.469
230,Point,2,3110012104,บึงกุ่ม,โรงเรียนวัดนวลจันทร์,1027,43/4 ซ.รามอินทรา 40 แขวงคลองกุ่ม เขตบึงกุ่ม,675866.617,1528233.068
231,Point,1,3110012105,บึงกุ่ม,โรงเรียนวัดพิชัย,1027,30/1 หมู่ 1 ถ.เสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม,679308.11,1523242.708
232,Point,3,3110012107,บึงกุ่ม,โรงเรียนพิชัยพัฒนา,1027,87/1 หมู่ 1 ถ.เสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม,679083.353,1523274.291
233,Point,3,3110012108,บึงกุ่ม,โรงเรียนแย้มจาดวิชชานุสรณ์,1027,39/359 หมู่ 11 ถ.นวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม,678599.391,1529828.953
234,Point,3,3110022106,บึงกุ่ม,โรงเรียนคลองกุ่ม(เสรีไทย อนุสรณ์),1027,106/4 หมู่ 4 ถ.เสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม,680937.294,1524682.471
235,Point,3,3110011501,ประเวศ,โรงเรียนวัดตะกล่ำ,1032,26 หมู่ 3 แขวงหนองบอน เขตประเวศ,680073.009,1512585.054
236,Point,2,3110011502,ประเวศ,โรงเรียนแก่นทองอุปถัมภ์,1032,14 หมู่ 7 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ,678586.944,1514741.431
237,Point,3,3110011503,ประเวศ,โรงเรียนวัดกระทุ่มเสือปลา,1032,6 หมู่ 3 ซ.อ่อนนุช 67 แขวงประเวศ เขตประเวศ,682613.383,1517695.187
238,Point,1,3110011504,ประเวศ,โรงเรียนคลองมะขามเทศ,1032,1/2 หมู่ 1 ถ.สุขาภิบาล 1 แขวงดอกไม้ เขตประเวศ,681264.821,1514888.058
239,Point,3,3110011505,ประเวศ,โรงเรียนสุเหร่าจรเข้ขบ,1032,33 หมู่ 8 แขวงประเวศ เขตประเวศ,683026.823,1515975.186
240,Point,2,3110011506,ประเวศ,โรงเรียนสุเหร่าทางควาย,1032,9/4 หมู่ 5 ถ.สุขุมวิท แขวงประเวศ เขตประเวศ,680961.319,1517886.561
241,Point,1,3110011507,ประเวศ,โรงเรียนสุเหร่าทับช้าง,1032,354 หมู่ 3 ถ.กรุงเทพ-ชลบุรี แขวงประเวศ เขตประเวศ,682614.632,1518896.689
242,Point,2,3110011508,ประเวศ,โรงเรียนสุเหร่าบึงหนองบอน,1032,213 หมู่ 11 ถ.อ่อนนุช 70 แขวงประเวศ เขตประเวศ,678596.88,1516668.183
243,Point,1,3110011509,ประเวศ,โรงเรียนสุเหร่าศาลาลอย,1032,36 หมู่ 10 ถ.อ่อนนุช 72 แขวงประเวศ เขตประเวศ,680367.944,1516332.934
244,Point,1,3110011510,ประเวศ,โรงเรียนสุเหร่าบ้านม้า,1032,325 หมู่ 5 ถ.มอเตอร์เวย์ แขวงประเวศ เขตประเวศ,680677.836,1519122.594
245,Point,2,3110011512,ประเวศ,โรงเรียนงามมานะ,1032,10/1 หมู่ 6 ถ.อ่อนนุช แขวงประเวศ เขตประเวศ,679686.483,1517335.385
246,Point,2,3110011513,ประเวศ,โรงเรียนคชเผือกอนุสรณ์,1032,18 หมู่ 1 ถ.สุขุมวิท แขวงดอกไม้ เขตประเวศ,681694.697,1514351.558
247,Point,3,3110011514,ประเวศ,โรงเรียนงามมานะ (แผน-ทับอุทิศ),1032,10/11 หมู่ 11 แขวงประเวศ เขตประเวศ,679719.256,1516193.058
248,Point,3,3110011515,ประเวศ,โรงเรียนอยู่เป็นสุขอนุสรณ์,1032,10 หมู่ 1 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ,677182.42,1514177.819
249,Point,3,3110021511,ประเวศ,โรงเรียนคลองปักหลัก,1032,28 หมู่ 6 แขวงดอกไม้ เขตประเวศ,683680.951,1513091.558
250,Point,3,3110021516,ประเวศ,โรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์,1032,10/11 หมู่ 11 แขวงประเวศ เขตประเวศ,679731.162,1516184.155
251,Point,3,3110014201,คันนายาว,โรงเรียนจินดาบำรุง,1043,37 ซ.คู้บอน 13 ถ.เสรีไทย แขวงคันนายาว เขตคันนายาว,679361.497,1531596.415
252,Point,3,3110014202,คันนายาว,โรงเรียนคันนายาว,1043,37 ถ.เสรไทย แขวงคันนายาว เขตคันนายาว,683213.065,1525503.571
253,Point,2,3110014102,สะพานสูง,โรงเรียนวัดลาดบัวขาว,1044,33 หมู่ 14 แขวงสะพานสูง เขตสะพานสูง,683422.881,1521646.942
254,Point,1,3110014101,สะพานสูง,โรงเรียนสุเหร่าทับช้างคลองบน,1044,79 หมู่ 16 ถ.กรุงเทพกรีฑา แขวงประเวศ เขตสะพานสูง,683769.702,1520023.21
255,Point,3,3110014103,สะพานสูง,โรงเรียนสมโภชกรุงอนุสรณ์ (200 ปี),1044,100/603 หมู่ 16 แขวงประเวศ เขตสะพานสูง,682978.206,1519647.931
256,Point,2,3110014105,สะพานสูง,โรงเรียนสุเหร่าลาดบัวขาว,1044,63/1 หมู่ 9 ถ.ราษฎร์พัฒนา แขวงสะพานสูง เขตสะพานสูง,685247.373,1522935.257
257,Point,3,3110024104,สะพานสูง,โรงเรียนสุเหร่าซีรอ (ราษฎร์สามัคคี),1044,25/2 หมู่ แขวงสะพานสูง เขตสะพานสูง,683233.351,1522841.491
258,Point,2,3110024106,สะพานสูง,โรงเรียนสามแยกคลองหลอแหล,1044,19 หมู่ 7 แขวงสะพานสูง เขตสะพานสูง,683962.379,1524084.82
259,Point,3,3110024402,คลองสามวา,โรงเรียนบางชัน (ปลื้มวิทยานุสรณ์),1046,89 หมู่ 4 แขวงบางชัน เขตคลองสามวา,683504.58,1528234.844
260,Point,2,3110014401,คลองสามวา,โรงเรียนกลางคลองสอง (พร  ดีเจริญ),1046,35 หมู่ 7 แขวงสามวาตะวันตก เขตคลองสามวาา,683628.072,1533117.098
261,Point,1,3110014403,คลองสามวา,โรงเรียนบ้านแบนชะโด (เสียง วิฑูรชาติ อุปถัมภ์),1046,45 ถ.ประชาร่วมใจ แขวงทรายกองดิน เขตคลองสามวา,692736.135,1534785.683
262,Point,2,3110014404,คลองสามวา,โรงเรียนบ้านหนองระแหง (ชมแสงประชานุกูล),1046,12 หมู่ 10 แขวงสามวาตะวันตก เขตคลองสามวา,682678.549,1537459.467
263,Point,3,3110014405,คลองสามวา,โรงเรียนประชาราษฎร์อุปถัมภ์วิทยา,1046,1051 ถ.พระยาสุเรนทร์ แขวงบางชัน เขตคลองสามวา,683268.614,1531129.505
264,Point,3,3110014407,คลองสามวา,โรงเรียนวัดบัวแก้ว,1046,14 หมู่ 2 แขวงทรายกองดิน เขตคลองสามวา,687117.02,1531904.896
265,Point,3,3110014408,คลองสามวา,โรงเรียนวัดแป้นทอง(สามวาวิทยา),1046,26 หมู่ 4 แขวงสามวาตะวันตก เขตคลองสามวา,684631.375,1535740.179
266,Point,2,3110014409,คลองสามวา,โรงเรียนวัดพระยาสุเรนทร์,1046,32/3 หมู่ 8 แขวงสามวาตะวันตก เขตคลองสามวา,682233.309,1534424.334
267,Point,2,3110014410,คลองสามวา,โรงเรียนวัดลำกะดาน,1046,40 หมู่ 10 แขวงสามวาตะวันตก เขตคลองสามวา,689435.308,1539297.849
268,Point,1,3110014411,คลองสามวา,โรงเรียนวัดศรีสุก,1046,35 หมู่ 8 แขวงสามวาตะวันตก เขตคลองสามวา,693588.462,1539455.275
269,Point,1,3110014412,คลองสามวา,โรงเรียนวัดสุขใจ,1046,8 หมู่ 6 แขวงสามวาตะวันตก เขตคลองสามวา,691685.716,1534269.45
270,Point,3,3110014413,คลองสามวา,โรงเรียนวัดสุทธิสะอาด,1046,หมู่ 4 แขวงสามวาตะวันตก เขตคลองสามวา,687182.683,1534853.477
271,Point,1,3110014414,คลองสามวา,โรงเรียนสุเหร่าเกาะขุนเณร,1046,หมู่ 12 แขวงทรายกองดินใต้ เขตคลองสามวา,693014.122,1532449.212
272,Point,1,3110014415,คลองสามวา,โรงเรียนสุเหร่าคลองสี่,1046,20 หมู่ 15 ถ.ไมตรีจิต เขตคลองสามวา,691258.372,1538777.681
273,Point,3,3110014416,คลองสามวา,โรงเรียนสุเหร่าคลองหนึ่ง,1046,15/6 หมู่ 11 แขวงบางชัน เขตคลองสามวา,684872.222,1530957.892
274,Point,2,3110014417,คลองสามวา,โรงเรียนสุเหร่าสามวา,1046,1/1 หมู่ 1 แขวงสามวาตะวันตก เขตคลองสามวา,686717.859,1538063.122
275,Point,3,3110024406,คลองสามวา,โรงเรียนวัดคู้บอน (วัฒนานันท์อุทิศ),1046,59 ซ.วัดคู้บอน35 แขวงบางชัน เขตคลองสามวา,680827.655,1532236.365
276,Point,3,3110024418,คลองสามวา,โรงเรียนสุเหร่าแสนแสบ,1046,50 หมู่ 10 แขวงทรายกองดินใต้ เขตคลองสามวา,689310.2,1529134.651
277,Point,1,3110012201,ธนบุรี,โรงเรียนวัดประยุรวงค์,1015,24/1 ถ.ประชาธิปก แขวงวัดกัลยาณ์ เขตธนบุรี,661600.831,1519150.269
278,Point,1,3110012202,ธนบุรี,โรงเรียนวัดขุนจันทร์,1015,1144 ถ.เทอดไท แขวงตลาดพลู เขตธนบุรี,659052.841,1517227.434
279,Point,1,3110012203,ธนบุรี,โรงเรียนวัดบุคคโล,1015,349 ถ.เจริญนคร แขวงบุคคโล เขตธนบุรี,660949.378,1515084.862
280,Point,1,3110012204,ธนบุรี,โรงเรียนวัดดาวคนอง,1015,ถ.เจริญนคร แขวงบุคคโล เขตธนบุรี,660931.72,1514637.068
281,Point,1,3110012205,ธนบุรี,โรงเรียนวัดกัลยาณมิตร,1015,656 ถ.เทศบาลสาย 1 แขวงวัดกัลยาณ์ เขตธนบุรี,661192.663,1519541.817
282,Point,1,3110012206,ธนบุรี,โรงเรียนวัดราชคฤห์,1015,518 ถ.เทอดไท แขวงบางยี่เรือ เขตธนบุรี,660038.733,1517549.92
283,Point,1,3110012207,ธนบุรี,โรงเรียนวัดประดิษฐาราม,1015,33 ถ.อิสรภาพ แขวงหิรัญจี เขตธนบุรี,660837.21,1518847.574
284,Point,3,3110012208,ธนบุรี,โรงเรียนวัดบางสะแกใน,1015,1587 ถ.ริมทางรถไฟ แขวงตลาดพลู เขตธนบุรี,659551.359,1516312.918
285,Point,2,3110012209,ธนบุรี,โรงเรียนวัดเวฬุราชิณ,1015,154/1 ถ.เทอดไท แขวงบางยี่เรือ เขตธนบุรี,660679.433,1517945.094
286,Point,1,3110012210,ธนบุรี,โรงเรียนกันตทาราราม,1015,ถ.รัชดาภิเษก 14 แขวงตลาดพลู เขตธนบุรี,659857.421,1516989.044
287,Point,2,3110012211,ธนบุรี,โรงเรียนวัดโพธินิมิตร,1015,309 ถ.เทอดไท แขวงบางยี่เรือ เขตธนบุรี,660543.672,1517337.045
288,Point,1,3110012212,ธนบุรี,โรงเรียนวัดใหม่ยายนุ้ย,1015,ถ.วุฒากาศ แขวงตลาดพลู เขตธนบุรี,658853.672,1516360.748
289,Point,3,3110012213,ธนบุรี,โรงเรียนวัดกระจับพินิจ,1015,300/1 ถ.ตากสิน แขวงบุคคโล เขตธนบุรี,660676.297,1516688.044
290,Point,1,3110012214,ธนบุรี,โรงเรียนวัดราชวรินทร์,1015,472 ถ.ตากสิน แขวงบุคคโล เขตธนบุรี,661403.832,1516060.705
291,Point,1,3110012215,ธนบุรี,โรงเรียนวัดบางสะแกนอก,1015,154 ถ.เทอดไท แขวงตลาดพลู เขตธนบุรี,659551.423,1516785.151
292,Point,1,3110012216,ธนบุรี,โรงเรียนวัดใหญ่ศรีสุพรรณ,1015,98 ถ.อินทรพิทักษ์ แขวงหิรัญจี เขตธนบุรี,660956.373,1518253.328
293,Point,1,3110012217,ธนบุรี,โรงเรียนวัดบางน้ำชน,1015,ถ.เจริญนคร แขวงบุคคโล เขตธนบุรี,661202.371,1515497.929
294,Point,1,3110012304,คลองสาน,โรงเรียนวัดทองธรรมชาติ,1018,ถ.เชียงใหม่ แขวงคลองสาน เขตคลองสาน,662884.248,1518818.941
