FID,Shape *,type,idschool,district,name,dcode,address,x,y
30,Point,1,3110013603,ห้วยขวาง,โรงเรียนวัดใหม่ช่องลม,1017,2042 ถ.เพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง,669933.205,1520537.385
31,Point,3,3110023601,ห้วยขวาง,โรงเรียนประชาราษฎร์บำเพ็ญ,1017,500 ถ.ประชาราษฎร์บำเพ็ญ แขวงสามเสนนอก เขตห้วยขวาง,671202.588,1523491.994
32,Point,2,3110010902,ราชเทวี,โรงเรียนวัดดิสหงสาราม,1037,9 ถ.เพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี,667777.308,1520476.482
33,Point,2,3110010903,ราชเทวี,โรงเรียนวัดพระยายัง,1037,49 ถ.พระราม 6 แขวงถนนเพชรบุรี เขตราชเทวี,664549.554,1520855.39
34,Point,2,3110010904,ราชเทวี,โรงเรียนวัดทัศนารุณสุนทริการาม,1037,149 ถ.ราชปรารภ แขวงมักกะสัน เขตราชเทวี,666874.519,1521832.694
35,Point,3,3110020901,ราชเทวี,โรงเรียนกิ่งเพชร,1037,323 ซ.กิ่งเพชร แขวงเพชรบุรี เขตราชเทวี,665019.937,1520769.95
36,Point,3,3110013803,ดินแดง,โรงเรียนวิชากร,1026,3981 ถ.ประชาสงเคราะห์ แขวงดินแดง เขตดินแดง,668135.046,1522608.489
37,Point,3,3110023801,ดินแดง,โรงเรียนสามเสนนอก,1026,ถ.ประชาสงเคราะห์ แขวงห้วยขวาง เขตดินแดง,669676.302,1523712.434
38,Point,3,3110023802,ดินแดง,โรงเรียนวิชูทิศ,1026,4095/1 ถ.ประชาสงเคราะห์ แขวงดินแดง เขตดินแดง,668256.571,1522621.824
39,Point,1,3110014301,วังทองหลาง,โรงเรียนสุเหร่าลาดพร้าว,1045,568 หมู่ 13 ซ.รามคำแหง 39 เขตวังทองหลาง,672340.133,1523034.571
40,Point,2,3110014302,วังทองหลาง,โรงเรียนสุเหร่าดอนสะแก,1045,87 หมู่ 9 ซ.ลาดพร้าว 96 เขตวังทองหลาง,674330.869,1524064.813
41,Point,2,3110014303,วังทองหลาง,โรงเรียนวัดสามัคคีธรรม,1045,51/1 หมู่ 12 ถ.ลาดพร้าว 64 เขตวังทองหลาง,672959.883,1524434.414
42,Point,1,3110010501,บางรัก,โรงเรียนวัดหัวลำโพง,1004,728/1 ถ.พระรามสี่ แขวงสี่พระยา เขตบางรัก,665282.935,1518600.798
43,Point,1,3110010502,บางรัก,โรงเรียนวัดม่วงแค,1004,30 ถ.เจริญกรุง แขวงบางรัก เขตบางรัก,663830.207,1517964.208
44,Point,1,3110010503,บางรัก,โรงเรียนวัดมหาพฤฒาราม,1004,44 ถ.สี่พระยา แขวงมหาพฤฒาราม เขตบางรัก,664036.7,1518624.082
45,Point,1,3110010504,บางรัก,โรงเรียนวัดสวนพลู,1004,58/1 ถ.เจริญกรุง แขวงบางรัก เขตบางรัก,663908.016,1517494.692
46,Point,1,3110010505,บางรัก,โรงเรียนวัดแก้วแจ่มฟ้า,1004,562 ถ.สี่พระยา แขวงมหาพฤฒาราม เขตบางรัก,664297.448,1518580.151
47,Point,1,3110010301,ปทุมวัน,โรงเรียนวัดบรมนิวาส,1007,2/1 ถ.พระราม 1 แขวงรองเมือง เขตปทุมวัน,664359.903,1520788.139
48,Point,2,3110010305,ปทุมวัน,โรงเรียนวัดสระบัว,1007,6 ถ.พระราม 1 แขวงรองเมือง เขตปทุมวัน,664175.378,1520335.001
49,Point,3,3110010306,ปทุมวัน,โรงเรียนสวนลุมพินี,1007,196 ถ.วิทยุ แขวงลุมพินี เขตปทุมวัน,667080.659,1518739.719
50,Point,1,3110010308,ปทุมวัน,โรงเรียนวัดดวงแข,1007,86 ถ.จารุเมือง แขวงรองเมือง เขตปทุมวัน,664288.151,1519717.019
51,Point,3,3110010309,ปทุมวัน,โรงเรียนปลูกจิต,1007,99 ซ.ปลูกจิตต์ แขวงลุมพินี เขตปทุมวัน,667594.87,1518237.731
52,Point,1,3110020302,ปทุมวัน,โรงเรียนวัดชัยมงคล,1007,437 ถ.พระราม 1 แขวงรองเมือง เขตปทุมวัน,664708.014,1520380.574
53,Point,2,3110020303,ปทุมวัน,โรงเรียนวัดปทุมวนาราม ในพระบรมราชูปถัมภ์สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,1007,969/1 ถ.พระราม 1 แขวงปทุมวัน เขตปทุมวัน,666086.055,1520231.202
54,Point,3,3110011001,ยานนาวา,โรงเรียนวัดดอกไม้,1012,583 ถ.พระราม 3 แขวงบางโพงพาง เขตยานนาวา,665038.142,1513201.831
55,Point,3,3110011002,ยานนาวา,โรงเรียนวัดช่องลม,1012,29 ถ.พระราม 3 แขวงช่องนนทรี เขตยานนาวา,667177.595,1515570.961
56,Point,3,3110011003,ยานนาวา,โรงเรียนวัดช่องนนทรี,1012,461 ถ.ช่องนนทรี แขวงช่องนนทรี เขตยานนาวา,667043.505,1514382.323
57,Point,2,3110011004,ยานนาวา,โรงเรียนวัดปริวาศ,1012,762/1 ถ.พระราม 3 แขวงบางโพงพาง เขตยานนาวา,665834.464,1512096.416
58,Point,1,3110011005,ยานนาวา,โรงเรียนวัดคลองใหม่,1012,18 ถ.พระราม 3 แขวงบางโพงพาง เขตยานนาวา,666970.037,1512645.629
59,Point,1,3110011006,ยานนาวา,โรงเรียนวัดคลองภูมิ,1012,22/1 ถ.พระราม 3 แขวงช่องนนทรี เขตยานนาวา,667490.556,1512957.342
60,Point,2,3110011301,พระโขนง,โรงเรียนบางจาก (นาคเผื่อนอุปถัมป์),1009,263 ซ.สุขุมวิท 58 แขวงบางจาก เขตพระโขนง,672548.562,1514723.926
61,Point,3,3110011302,พระโขนง,โรงเรียนวัดราษฎร์ศรัทธาธรรม,1009,774 ซ.พึ่งมี ถ.สุขุมวิท 93 แขวงบางจาก เขตพระโขนง,675436.64,1515414.522
62,Point,3,3110011304,พระโขนง,โรงเรียนพูนสิน,1009,ซ.สุขุมวิท 66/1 (ซ.พูนสิน) แขวงบางจาก เขตพระโขนง,673446.811,1513279.15
63,Point,2,3110021303,พระโขนง,โรงเรียนวัดธรรมมงคล (หลวงพ่อวิริยังค์อุปถัมป์),1009,132 ถ.สุขุมวิท 101 แขวงบางจาก เขตพระโขนง,674692.068,1513895.738
64,Point,2,3110011101,สาทร,โรงเรียนวัดดอน,1028,25/1 ถ.เจริญกรุง แขวงยานนาวา เขตสาทร,664033.363,1516588.25
65,Point,2,3110011102,สาทร,โรงเรียนวัดยานนาวา,1028,1648 ถ.เจริญกรุง แขวงยานนาวา เขตสาทร,663586.149,1517019.122
66,Point,3,3110011201,บางคอแหลม,โรงเรียนวัดไผ่เงินโชตนาราม,1031,880 ถ.จันทร์ แขวงบางโคล่ เขตบางคอแหลม,664748.202,1515207.836
67,Point,3,3110011202,บางคอแหลม,โรงเรียนวัดราชสิงขร,1031,29 ถ.เจริญกรุง แขวงวัดพระยาไกร เขตบางคอแหลม,662657.472,1515711.099
68,Point,2,3110011203,บางคอแหลม,โรงเรียนวัดลาดบัวขาว,1031,504 ถ.เจริญกรุง แขวงบางคอแหลม เขตบางคอแหลม,661903.476,1515136.616
69,Point,2,3110011204,บางคอแหลม,โรงเรียนวัดไทร,1031,633 ซ.เจริญกรุง 107 แขวงบางโคล่ เขตบางคอแหลม,664183.85,1513983.234
70,Point,1,3110011205,บางคอแหลม,โรงเรียนวัดจันทร์นอก,1031,101/1 ถ.พระราม 3 แขวงบางโคล่นอก เขตบางคอแหลม,662385.775,1513959.812
71,Point,1,3110011206,บางคอแหลม,โรงเรียนวัดบางโคล่นอก,1031,448/25 แขวงบางโคล่นอก เขตบางคอแหลม,663520.982,1513653.785
72,Point,2,3110011207,บางคอแหลม,โรงเรียนวัดจันทร์ใน,1031,449 ซ.ประดู่ 1 แขวงบางโคล่นอก เขตบางคอแหลม,662633.813,1514533.917
73,Point,2,3110011401,คลองเตย,โรงเรียนวัดสะพาน,1033,1730 แขวงพระโขนง เขตคลองเตย,671777.823,1515566.872
74,Point,1,3110011402,คลองเตย,โรงเรียนวัดคลองเตย,1033,386 ถ.สุนทรโกษา แขวงคลองเตย เขตคลองเตย,668774.444,1516211.858
75,Point,3,3110011403,คลองเตย,โรงเรียนศูนย์รวมน้ำใจ,1033,133/1 ถ.อาจณรงค์ แขวงคลองเตย เขตคลองเตย,669733.506,1516540.963
76,Point,3,3110021404,คลองเตย,โรงเรียนชุมชนหมู่บ้านพัฒนา,1033,160/507 ล็อค 6 แขวงคลองเตย เขตคลองเตย,670274.974,1516323.78
77,Point,2,3110013701,สวนหลวง,โรงเรียนวัดใต้ (ราษฎรนิรมิต),1034,435 ถ.สุขุมวิท แขวงพระโขนง เขตสวนหลวง,673433.436,1516573.054
78,Point,3,3110013702,สวนหลวง,โรงเรียนมัธยมนาคนาวาอุปถัมภ์,1034,96/1 ถ.พัฒนาการ แขวงสวนหลวง เขตสวนหลวง,674413.443,1518617.14
79,Point,3,3110013704,สวนหลวง,โรงเรียนนาคนาวาอุปถัมภ์,1034,96 ถ.พัฒนาการ แขวงสวนหลวง เขตสวนหลวง,674430.693,1518530.977
80,Point,2,3110013705,สวนหลวง,โรงเรียนสุเหร่าใหม่,1034,27 หมู่ 2 ถ.ศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง,677261.142,1516955.795
81,Point,1,3110013706,สวนหลวง,โรงเรียนหัวหมาก,1034,55 ถ.ศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง,677705.708,1519317.065
